Deformation[in],Force[kip]
-1.2049102926666666,33.304576017180196
-1.1274787535,48.16114993986157
-1.0500472143333333,57.25914149046182
-0.9726156751666666,66.35713295620299
-0.895184136,71.91138132666667
-0.8177525968333333,76.16625724762606
-0.7403210576666666,79.44660384282811
-0.6628895185,81.8853114556855
-0.5854579793333332,84.3240190685429
-0.5080264401666668,86.5195286334405
-0.4305949010000003,87.96112422712744
-0.35316336183333336,89.40271982081438
-0.27573182266666646,90.84431541450134
-0.19830028349999995,92.13771219168154
-0.1208687443333333,93.28996723778769
-0.04343720516666663,94.44222228389386
0.033994334,95.59447733
0.10995042465624999,96.23640966829915
0.18590651531249996,96.8783420065983
0.26186260596874994,97.52027434489744
0.33781869662499997,98.1622066831966
0.41377478728125,98.80413901621614
0.4897308779375,99.44607134745938
0.56568696859375,100.0880036787026
0.64164305925,100.72993600994583
0.71759914990625,101.44608700938169
0.7935552405624999,102.23750201308142
0.8695113312187499,103.02891701678115
0.945467421875,103.82033202048088
1.0214235125312499,104.6117470241806
1.0973796031874998,105.28805658298994
1.1733356938437498,105.75027000849545
1.2492917844999998,106.21248343400097
1.3252478751562498,106.67469685950648
1.4012039658124997,107.136910285012
1.4771600564687497,107.66782849583791
1.5531161471249997,108.20864019654468
1.6290722377812497,108.74945189725145
1.7050283284374996,109.27669228099191
1.7809844190937496,109.62343413834921
1.8569405097499998,109.97017599570653
1.9328966004062498,110.31691785306384
2.0088526910624998,110.66539005265992
2.0848087817187495,111.05337173047873
2.1607648723749997,111.44135340829754
2.2367209630312495,111.82933508611634
2.3126770536874997,112.32009917195681
2.3886331443437494,112.93077607057641
2.4645892349999996,94.80391142000029
2.388101983,71.86338260911958
2.3116147309999997,53.574016734999915
2.235127479,31.796278802613465
2.158640227,5.699603776
2.0812086878148146,-9.083142169142908
2.0037771486296294,-21.20808092579961
1.9263456094444442,-33.7759874439775
1.848914070259259,-46.897603877040176
1.7714825310740738,-54.482121757102064
1.6940509918888889,-60.868612878454684
1.6166194527037037,-66.1141261022446
1.5391879135185182,-71.08580463322603
1.461756374333333,-73.52451224666666
1.3843248351481479,-75.9632198601073
1.3068932959629627,-78.40192747354793
1.2294617567777777,-80.45778427128101
1.1520302175925925,-82.420828750427
1.074598678407407,-84.383873229573
0.9971671392222222,-86.03051207351422
0.9197356000370369,-87.56113551775626
0.8423040608518516,-89.0917589619983
0.7648725216666664,-90.53177534431597
0.6874409824814811,-91.64963326469002
0.6100094432962959,-92.76749118506406
0.5325779041111107,-93.88534910543811
0.4551463649259255,-95.00320702581216
0.3777148257407406,-95.98683225792978
0.30028328655555575,-96.76071890594733
0.2228517473703703,-97.5346055539649
0.14542020818518547,-98.30849220198245
0.067988669,-99.08237885
-0.008241050303030309,-99.80877817319107
-0.08447076960606062,-100.53517749638215
-0.16070048890909097,-101.26157681957322
-0.23693020821212124,-101.9879761427643
-0.31315992751515154,-102.78478769912937
-0.3893896468181819,-103.73291065037317
-0.46561936612121213,-104.68103360161697
-0.5418490854242425,-105.62915655286078
-0.6180788047272728,-106.62384148175092
-0.6943085240303031,-107.6340470706709
-0.7705382433333334,-108.6442526595909
-0.8467679626363638,-109.6544582485109
-0.922997681939394,-110.64548773681837
-0.9992274012424243,-111.37188704933122
-1.0754571205454546,-112.09828636184409
-1.1516868398484852,-112.82468567435694
-1.2279165591515153,-113.55108498686981
-1.3041462784545457,-114.2337627937962
-1.3803759977575758,-114.84663960138569
-1.4566057170606062,-115.45951640897518
-1.5328354363636367,-116.07239321656466
-1.609065155666667,-116.68527002415415
-1.6852948749696972,-117.29814683174364
-1.7615245942727276,-118.39426134512098
-1.8377543135757575,-119.60313132552766
-1.9139840328787878,-120.81200130593434
-1.9902137521818182,-121.79204402078591
-2.066443471484848,-122.51009609667645
-2.1426731907878787,-123.22814817256699
-2.218902910090909,-123.94620024845753
-2.2951326293939394,-124.69386248201897
-2.3713623486969695,-125.45573759100948
-2.4475920679999996,-126.2176127
-2.3796033994,-71.7175044097951
-2.3116147308,-53.09779480004421
-2.2436260621999997,-27.169115282591292
-2.1756373935999997,-10.941432206354772
-2.107648725,0.767978316
-2.03082152956,20.280010911115955
-1.95399433412,36.33689406180002
-1.8771671386799997,48.537298726083826
-1.8003399432399998,58.13836785610013
-1.7235127477999999,66.6005665692883
-1.6466855523599997,71.37284279253038
-1.5698583569199998,76.14511901577244
-1.4930311614799998,79.7726396860682
-1.4162039660399999,82.14940888712776
-1.3393767706,84.52617808818732
-1.2625495751599998,86.69070238521742
-1.1857223797199998,88.50971172929063
-1.10889518428,90.32872107336385
-1.0320679888399997,92.14773041743709
-0.9552407933999998,93.9667397615103
-0.8784135979599998,94.9768092089381
-0.80158640252,95.94942773553095
-0.7247592070800002,96.92204626212379
-0.6479320116399998,97.89466478871663
-0.5711048161999996,98.79427240372586
-0.49427762076000015,98.94186762298068
-0.41745042532,99.0894628422355
-0.3406232298799997,99.23705806149034
-0.2637960344400002,99.38465328074517
-0.186968839,99.5322485
-0.10941926391666666,100.3353848677439
-0.031869688833333326,101.1385212354878
0.045679886250000024,101.9416576032317
0.12322946133333335,102.7447939709756
0.20077903641666667,103.54793033871951
0.27832861150000004,104.31138416675131
0.3558781865833333,104.63171628784211
0.43342776166666663,104.95204840893291
0.51097733675,105.27238053002371
0.5885269118333334,105.59271265111451
0.6660764869166667,105.92419184201924
0.7436260620000001,106.26047957294591
0.8211756370833333,106.59676730387258
0.8987252121666667,106.93305503479924
0.97627478725,107.43982710736157
1.0538243623333334,108.0952265597477
1.1313739374166667,108.75062601213382
1.2089235125000002,109.40602546451996
1.2864730875833335,109.89544856344085
1.3640226626666667,110.10209713473584
1.4415722377500002,110.30874570603085
1.5191218128333335,110.51539427732584
1.5966713879166667,110.68311012560756
1.6742209630000002,110.84464617678563
1.7517705380833337,111.0061822279637
1.829320113166667,111.16771827914178
1.9068696882500002,111.48894029915482
1.9844192633333337,112.26400664345712
2.0619688384166674,113.03907298775941
2.1395184135000003,113.81413933206171
2.217067988583334,114.589205676364
2.2946175636666672,115.1250693681727
2.3721671387500005,115.62729518737763
2.449716713833334,116.12952100658254
2.5272662889166675,116.63174682578746
2.6048158640000008,117.13397264499238
2.682365439083334,117.54386735119309
2.7599150141666673,117.81367346942459
2.837464589250001,118.08347958765609
2.915014164333334,118.35328570588759
2.992563739416667,118.62309182411909
3.070113314500001,118.91761713101093
3.1476628895833345,119.36787332584244
3.2252124646666678,119.81812952067396
3.302762039750001,120.26838571550547
3.3803116148333343,120.71864191033698
3.4578611899166676,121.1688981051685
3.535410765,121.6191543
3.4674220965,85.28072936796728
3.399433428,65.11063217
3.3314447595,46.22514189287708
3.263456091,32.85460187227299
3.1954674225,9.915955529116303
3.127478754,-8.703754247
3.050369654292683,-22.78776402114014
2.973260554585366,-33.21323723878287
2.8961514548780487,-41.89655017475066
2.819042355170732,-51.71139909599767
2.741933255463415,-59.89005907205681
2.6648241557560977,-65.1137289693828
2.5877150560487805,-70.33739886670882
2.5106059563414638,-73.0977351886918
2.433496856634146,-75.71810935691326
2.356387756926829,-78.33848352513472
2.2792786572195123,-80.95885769335618
2.202169557512195,-83.48357353471684
2.125060457804878,-85.11547826555429
2.047951358097561,-86.74738299639174
1.970842258390244,-88.37928772722917
1.893733158682927,-90.0111924580666
1.8166240589756095,-91.64309718890405
1.7395149592682924,-93.2750019197415
1.6624058595609754,-94.222887968534
1.585296759853658,-95.11509807251306
1.5081876601463413,-96.00730817649212
1.4310785604390244,-96.89951828047118
1.353969460731707,-97.79172838445025
1.2768603610243903,-98.6839384884293
1.1997512613170729,-99.54407725146682
1.1226421616097557,-100.0853891443839
1.0455330619024386,-100.62670103730098
0.9684239621951214,-101.16801293021804
0.8913148624878047,-101.70932482313512
0.8142057627804873,-102.25232779193529
0.7370966630731706,-102.87227471290603
0.6599875633658528,-103.49222163387678
0.5828784636585361,-104.11216855484753
0.5057693639512194,-104.73211547581828
0.42866026424390175,-105.35206239678902
0.351551164536585,-105.97200931775977
0.2744420648292678,-106.59195623663463
0.19733296512195073,-107.21190315247597
0.12022386541463362,-107.83185006831732
0.04311476570731648,-108.45179698415866
-0.033994334,-109.0717439
-0.11180358802222222,-109.66835126860423
-0.18961284204444445,-110.26495863720845
-0.26742209606666667,-110.86156600581268
-0.3452313500888889,-111.4581733744169
-0.4230406041111111,-111.99501523504098
-0.5008498581333333,-112.44677913704918
-0.5786591121555555,-112.89854303905737
-0.6564683661777777,-113.35030694106557
-0.7342776201999999,-113.80207084307376
-0.8120868742222221,-114.25383474508196
-0.8898961282444444,-114.92005135153836
-0.9677053822666666,-116.09603258652669
-1.0455146362888887,-117.27201382151503
-1.1233238903111111,-118.44799505650337
-1.2011331443333333,-119.6239762914917
-1.2789423983555555,-120.1942868299415
-1.3567516523777776,-120.51569160043377
-1.4345609063999998,-120.83709637092602
-1.5123701604222222,-121.15850114141828
-1.5901794144444443,-121.69457496408342
-1.6679886684666665,-122.64772009600009
-1.7457979224888889,-123.60086522791677
-1.823607176511111,-124.35055131288802
-1.901416430533333,-124.89677834568414
-1.9792256845555551,-125.44300537848025
-2.0570349385777775,-125.98923241127638
-2.1348441925999997,-126.5354594440725
-2.2126534466222223,-127.1773161850282
-2.2904627006444445,-127.92456076905273
-2.3682719546666666,-128.67180535307725
-2.446081208688889,-129.41904993710176
-2.523890462711111,-130.16629452112628
-2.601699716733333,-130.9199451033992
-2.6795089707555553,-132.10706813393938
-2.7573182247777774,-133.29419116447957
-2.8351274787999996,-134.35660170048683
-2.912936732822222,-134.83009212800766
-2.9907459868444444,-135.30358255552852
-3.0685552408666665,-135.77707298304935
-3.1463644948888883,-136.2505634105702
-3.224173748911111,-137.0248692876054
-3.3019830029333335,-137.87166081570408
-3.379792256955555,-138.7184523438027
-3.457601510977778,-139.56524387190137
-3.535410765,-140.4120354
-3.4985835693333334,-106.4614646226329
-3.427762039666667,-70.45463816450767
-3.35694051,-51.114478507842385
-3.2861189803333333,-27.842978550833344
-3.2152974506666667,-10.551545180635435
-3.144475921,0.538337741
-3.0675413750000002,19.369855478621247
-2.9906068290000003,43.03176331534608
-2.913672283,51.69541962880733
-2.836737737,61.854966805699206
-2.759803191,69.26554326253235
-2.682868645,74.20397741359645
-2.605934099,78.89099021669821
-2.5289995530000002,82.16617535401893
-2.452065007,85.44136049133965
-2.3751304610000004,88.02732256525138
-2.298195915,89.92406157575415
-2.221261369,91.82080058625691
-2.144326823,93.71753959675968
-2.0673922770000006,94.81606214999414
-1.9904577310000002,95.88573349742953
-1.913523185,96.95540484486492
-1.836588639,98.02507619230032
-1.759654093,99.01971161840362
-1.682719547,99.95208319496687
-1.6057850009999999,100.88445477153013
-1.5288504549999997,101.81682634809339
-1.4519159089999998,102.74919792465664
-1.3749813629999998,103.44658549696922
-1.2980468169999997,103.87374146767694
-1.221112271,104.30089743838464
-1.1441777249999996,104.72805340909235
-1.067243179,105.15520937980007
-0.9903086329999996,105.63747139995385
-0.9133740869999997,106.15576429995848
-0.8364395409999996,106.67405719996309
-0.7595049949999997,107.1923500999677
-0.6825704489999997,107.71064299997232
-0.6056359029999998,108.11527966693521
-0.5287013569999999,108.25763271354816
-0.4517668109999998,108.39998576016113
-0.3748322649999999,108.54233880677408
-0.29789771899999995,108.68469185338705
-0.220963173,108.8270449
-0.14365347730645164,108.93574909111781
-0.06634378161290327,109.04445328223564
0.010965914080645095,109.15315747335345
0.08827560977419346,109.26186166447127
0.1655853054677418,109.37056585558908
0.2428950011612902,109.4792700467069
0.32020469685483854,109.58797423782471
0.39751439254838694,109.88815986989135
0.4748240882419354,110.25399628365996
0.5521337839354838,110.61983269742855
0.6294434796290321,110.98566911119715
0.7067531753225805,111.35150552496576
0.7840628710161287,111.71404441043427
0.8613725667096772,111.96364296008188
0.9386822624032256,112.21324150972949
1.015991958096774,112.4628400593771
1.0933016537903224,112.7124386090247
1.1706113494838708,112.96203715867232
1.2479210451774192,113.2607795101232
1.3252307408709676,113.66786160805583
1.402540436564516,114.07494370598846
1.4798501322580642,114.48202580392109
1.5571598279516126,114.88910790185372
1.634469523645161,115.29618999978635
1.7117792193387094,115.70327209771898
1.7890889150322578,116.00011157823484
1.866398610725806,116.18513354704561
1.9437083064193543,116.37015551585638
2.0210180021129025,116.55517748466715
2.098327697806451,116.74019945347793
2.1756373934999997,116.9252214222887
2.2529470891935475,117.11024339109946
2.330256784887096,117.29526535991023
2.407566480580645,117.5291090614294
2.4848761762741933,117.79808059497951
2.5621858719677415,118.06705212852962
2.6394955676612897,118.33602366207973
2.7168052633548383,118.60499519562984
2.7941149590483865,118.87396672917995
2.8714246547419346,119.14293826273007
2.948734350435483,119.41190979628017
3.026044046129032,119.68088132983029
3.1033537418225796,119.9498528633804
3.1806634375161282,120.21902852965741
3.2579731332096773,120.49519574294737
3.3352828289032246,120.77136295623735
3.4125925245967736,121.04753016952733
3.489902220290322,121.3236973828173
3.56721191598387,121.59986459610728
3.6445216116774186,121.87603180939726
3.721831307370967,122.15219902268723
3.799141003064515,122.5862350123131
3.8764506987580636,123.33600856379992
3.953760394451612,124.08578211528675
4.031070090145161,124.83555566677357
4.108379785838709,125.58532921826038
4.185689481532258,126.33510276974721
4.262999177225806,127.08487632123403
4.340308872919354,127.75605879661296
4.417618568612903,127.49843765592361
4.494928264306451,127.24081651523426
4.57223796,115.2042766
4.4940509912,83.02749087524174
4.4158640224,62.54505750554525
4.337677053599999,42.32840488451524
4.2594900847999995,16.79613741566628
4.181303116,0.831976509
4.103601780517857,-13.99301674724069
4.025900445035714,-26.160202600088606
3.948199109553571,-37.50473379674419
3.870497774071428,-47.646923605178024
3.7927964385892854,-56.77661541147249
3.7150951031071426,-62.26131430381824
3.637393767625,-66.53101558163623
3.559692432142857,-70.62985783258947
3.481991096660714,-74.59580972687135
3.404289761178571,-78.07766100194382
3.3265884256964284,-80.75267791235956
3.2488870902142857,-83.42769482277528
3.1711857547321425,-86.10271173319101
3.09348441925,-87.72327247736163
3.015783083767857,-89.19319662995477
2.9380817482857142,-90.66312078254789
2.8603804128035715,-92.13304493514102
2.7826790773214287,-93.60296908773415
2.7049777418392855,-94.40431437674945
2.6272764063571428,-95.08184876930409
2.5495750708749996,-95.75938316185874
2.4718737353928573,-96.43691755441338
2.394172399910714,-97.11445194696803
2.3164710644285718,-98.10649448485246
2.2387697289464286,-99.1711158286189
2.161068393464286,-100.23573717238533
2.0833670579821426,-101.30035851615176
2.0056657225,-102.3649798599182
1.9279643870178576,-103.42960120368461
1.850263051535714,-104.24873542181783
1.7725617160535716,-104.78965088975953
1.6948603805714286,-105.33056635770124
1.6171590450892857,-105.87148182564296
1.5394577096071427,-106.41239729358469
1.4617563741249997,-106.9533127615264
1.3840550386428572,-107.50178168133442
1.3063537031607146,-108.1031247678035
1.2286523676785719,-108.70446785427256
1.1509510321964291,-109.30581094074162
1.0732496967142857,-109.9071540272107
0.995548361232143,-110.50849711367977
0.9178470257500002,-111.03549592714654
0.8401456902678573,-111.46690924663608
0.7624443547857144,-111.8983225661256
0.6847430193035715,-112.32973588561514
0.6070416838214285,-112.76114920510467
0.5293403483392856,-113.47609485268347
0.451639012857143,-114.3611598972618
0.37393767737499994,-115.24622494184013
0.29623634189285736,-115.87093335378115
0.21853500641071372,-116.2931421614843
0.14083367092857096,-116.71535096918744
0.06313233544642827,-117.13755977689057
-0.014569000035714486,-117.55976858459371
-0.09227033551785718,-117.98197739229686
-0.169971671,-118.4041862
-0.24767300650000001,-118.90739484856925
-0.32537434200000004,-119.41060349713851
-0.4030756775,-119.91381214570775
-0.4807770130000001,-120.41702079427701
-0.5584783485,-120.92022944284626
-0.636179684,-121.44588913466158
-0.7138810195,-121.99135857101345
-0.7915823550000001,-122.53682800736532
-0.8692836905000001,-123.08229744371718
-0.9469850260000001,-123.62776688006905
-1.0246863615000001,-124.12607025974336
-1.102387697,-124.57720758213308
-1.1800890325000002,-125.02834490452283
-1.2577903680000002,-125.47948222691257
-1.3354917035000002,-125.93061954930229
-1.4131930390000003,-126.38175687169203
-1.4908943745000003,-126.93303136283625
-1.5685957100000003,-127.6512011381018
-1.6462970455000003,-128.36937091336733
-1.7239983810000004,-129.08754068863288
-1.8016997165000004,-129.80571046389844
-1.8794010520000004,-130.523880239164
-1.9571023875000004,-131.21411318772465
-2.0348037230000005,-131.89164757819296
-2.1125050585000005,-132.56918196866127
-2.190206394,-133.24671635912958
-2.2679077295,-133.9242507495979
-2.345609065,-134.70511962704938
-2.4233104005,-135.5401160942234
-2.501011736,-136.37511256139743
-2.5787130715,-137.21010902857142
-2.656414407,-138.04510549574545
-2.7341157425000002,-138.88010196291947
-2.8118170780000002,-140.06720110659808
-2.8895184135000003,-141.2656584
-2.9672197490000003,-142.4641156934019
-3.0449210845000003,-143.64323708871956
-3.1226224200000003,-144.22294558370106
-3.2003237555000004,-144.8026540786826
-3.278025091000001,-145.3823625736641
-3.355726426500001,-145.9620710686456
-3.433427762,-146.5417795636271
-3.5111290975000005,-147.2030503962873
-3.588830433,-148.43525762208955
-3.6665317685000005,-149.6674648478918
-3.7442331040000005,-150.89967207369403
-3.8219344395,-152.1318792994963
-3.899635775,-152.7782840980512
-3.9773371105,-153.22942142588312
-4.055038446,-153.68055875371502
-4.1327397815,-154.13169608154695
-4.210441117,-154.58997037871086
-4.288142452500001,-155.08678430903313
-4.365843788,-155.5835982393554
-4.443545123500001,-156.08041216967771
-4.521246459,-156.5772261
-4.4532577905,-89.4525333639811
-4.385269122,-68.61798411999999
-4.3172804535000004,-44.90414407557016
-4.249291785,-31.60004894000005
-4.1813031165,-15.638146807386523
-4.113314448,4.310466528
-4.036220154178571,21.44904134544805
-3.9591258603571426,37.03722863496162
-3.882031566535714,49.829181188603805
-3.8049372727142856,59.17231239863323
-3.727842978892857,65.46806182648443
-3.650748685071428,71.76381125433561
-3.57365439125,76.09307639192764
-3.496560097428571,80.01031624848052
-3.419465803607143,83.9275561050334
-3.342371509785714,87.68214244453634
-3.2652772159642853,89.53368242287881
-3.188182922142857,91.38522240122127
-3.1110886283214287,93.23676237956373
-3.0339943345,95.0883023579062
-2.9569000406785713,96.93429664296715
-2.8798057468571425,98.08153315431973
-2.8027114530357142,99.2287696656723
-2.725617159214286,100.37600617702488
-2.6485228653928568,101.52324268837745
-2.5714285715714285,102.67047919973002
-2.4943342777499997,103.59686099380016
-2.4172399839285714,104.43587169114309
-2.3401456901071427,105.27488238848602
-2.2630513962857144,106.11389308582895
-2.1859571024642857,106.95290378317188
-2.108862808642858,107.26645511168577
-2.0317685148214286,107.49879908462958
-1.954674221,107.73114305757339
-1.8775799271785711,107.9634870305172
-1.8004856333571424,108.19583100346101
-1.7233913395357146,108.4281749764048
-1.6462970457142856,108.8454806467298
-1.5692027518928573,109.34475797776462
-1.4921084580714292,109.84403530879945
-1.4150141642500003,110.34331263983428
-1.3379198704285722,110.84258997086911
-1.2608255766071435,111.2545393499298
-1.183731282785714,111.27161449994661
-1.1066369889642862,111.28868964996342
-1.029542695142857,111.30576479998022
-0.9524484013214292,111.32283994999703
-0.8753541075,111.33991510001384
-0.7982598136785712,111.74006706785958
-0.7211655198571433,112.18767987994731
-0.6440712260357144,112.63529269203504
-0.5669769322142857,113.08290550412276
-0.48988263839285684,113.53051831621049
-0.4127883445714289,113.9781311282982
-0.3356940507499998,114.48744304310439
-0.2585997569285714,115.02116339408947
-0.18150546310714302,115.55488374507456
-0.10441116928571464,116.08860409605964
-0.027316875464285184,116.62232444704473
0.04977741835714217,117.15604479802981
0.12687171217857063,117.6897651490149
0.203966006,118.2234855
0.28118170814285715,118.13997053797527
0.35839741028571426,118.05645557595055
0.4356131124285714,117.97294061392583
0.5128288145714286,117.88942565190112
0.5900445167142857,117.8059106898764
0.6672602188571428,117.72239572785168
0.7444759210000002,117.78427846579076
0.8216916231428572,118.06771960186427
0.8989073252857143,118.35116073793778
0.9761230274285715,118.63460187401128
1.0533387295714287,118.91804301008479
1.1305544317142857,119.2014841461583
1.2077701338571432,119.4849252822318
1.2849858360000002,119.7683664183053
1.3622015381428574,120.10651202258217
1.4394172402857142,120.44993943770534
1.5166329424285718,120.79336685282851
1.5938486445714286,121.13679426795167
1.671064346714286,121.48022168307484
1.7482800488571428,121.82364909819802
1.825495751,122.16707651332119
1.9027114531428575,122.51050392844436
1.9799271552857143,122.6737278391829
2.0571428574285715,122.78229986734442
2.134358559571429,122.89087189550592
2.211574261714286,122.99944392366744
2.288789963857143,123.10801595182895
2.3660056660000004,123.21658797999046
2.4432213681428574,123.32516000815198
2.5204370702857144,123.38770940011075
2.597652772428572,123.40481144009274
2.6748684745714293,123.42191348007475
2.752084176714286,123.43901552005676
2.8292998788571433,123.45611756003876
2.9065155810000003,123.47321960002077
2.9837312831428573,123.49032164000276
3.0609469852857147,123.59141498979477
3.1381626874285717,123.79145700610053
3.2153783895714287,123.9914990224063
3.292594091714286,124.19154103871207
3.369809793857143,124.39158305501785
3.447025496,124.5916250713236
3.524241198142857,124.79166708762938
3.6014569002857146,124.97705993412364
3.6786726024285716,125.10196588858042
3.7558883045714286,125.2268718430372
3.833104006714286,125.35177779749398
3.910319708857143,125.47668375195077
3.987535411,125.60158970640755
4.064751113142858,125.73173484602495
4.1419668152857145,126.02324686053979
